"","X","Ein","Koe","Rau","Sac","Ste","Tru","Unt","Ver","Wah","Wid","person"
"36","Tru",5,5,5,5,5,0,5,5,5,5,4
"37","Unt",5,5,5,5,5,5,0,5,5,5,4
"38","Ver",5,5,5,5,5,5,5,0,5,5,4
"39","Wah",5,5,5,5,5,5,5,5,0,5,4
"40","Wid",5,4,5,5,5,5,5,5,5,0,4
"41","Ein",0,4,1,2,5,5,5,4,5,5,5
"42","Koe",4,0,5,5,5,3,3,1,5,2,5
"43","Rau",1,5,0,3,3,5,5,5,5,5,5
"44","Sac",2,5,3,0,5,3,5,5,5,5,5
"45","Ste",5,5,3,5,0,5,5,5,5,4,5
"46","Tru",5,3,5,3,5,0,5,5,5,5,5
"47","Unt",5,3,5,5,5,5,0,4,5,5,5
"48","Ver",4,1,5,5,5,5,4,0,5,5,5
"49","Wah",5,5,5,5,5,5,5,5,0,5,5
"50","Wid",5,2,5,5,4,5,5,5,5,0,5
"51","Ein",0,4,1,1,2,4,4,4,4,4,6
"52","Koe",4,0,3,4,5,2,2,2,5,3,6
"53","Rau",1,3,0,1,2,3,4,4,3,3,6
"54","Sac",1,4,1,0,4,2,5,5,5,3,6
"55","Ste",2,5,2,4,0,4,5,5,2,4,6
"56","Tru",4,2,3,2,4,0,4,4,4,4,6
"57","Unt",4,2,4,5,5,4,0,3,4,4,6
"58","Ver",4,2,4,5,5,4,3,0,5,4,6
"59","Wah",4,5,3,5,2,4,4,5,0,2,6
"60","Wid",4,3,3,3,4,4,4,4,2,0,6
"61","Ein",0,5,3,3,5,5,5,5,5,5,7
"62","Koe",5,0,5,4,5,5,4,4,5,3,7
"63","Rau",3,5,0,4,4,5,5,5,5,5,7
"64","Sac",3,4,4,0,5,4,5,4,4,5,7
"65","Ste",5,5,4,5,0,5,5,5,4,4,7
"66","Tru",5,5,5,4,5,0,5,5,5,5,7
"67","Unt",5,4,5,5,5,5,0,5,5,4,7
"68","Ver",5,4,5,4,5,5,5,0,5,4,7
"69","Wah",5,5,5,4,4,5,5,5,0,5,7
"70","Wid",5,3,5,5,4,5,4,4,5,0,7
"71","Ein",0,5,4,4,5,5,5,5,5,5,8
"72","Koe",5,0,4,5,5,4,5,4,5,3,8
"73","Rau",4,4,0,5,4,5,5,5,5,5,8
"74","Sac",4,5,5,0,5,4,5,5,5,5,8
"75","Ste",5,5,4,5,0,5,5,5,5,5,8
"76","Tru",5,4,5,4,5,0,5,5,5,5,8
"77","Unt",5,5,5,5,5,5,0,5,5,5,8
"78","Ver",5,4,5,5,5,5,5,0,5,5,8
"79","Wah",5,5,5,5,5,5,5,5,0,5,8
"80","Wid",5,3,5,5,5,5,5,5,5,0,8
"81","Ein",0,4,2,2,4,5,4,5,5,5,9
"82","Koe",4,0,4,5,5,3,5,1,5,4,9
"83","Rau",2,4,0,3,2,5,5,4,3,5,9
"84","Sac",2,5,3,0,5,4,5,5,5,4,9
"85","Ste",4,5,2,5,0,4,5,5,2,4,9
"86","Tru",5,3,5,4,4,0,4,5,5,5,9
"87","Unt",4,5,5,5,5,4,0,4,5,5,9
"88","Ver",5,1,4,5,5,5,4,0,5,5,9
"89","Wah",5,5,3,5,2,5,5,5,0,3,9
"90","Wid",5,4,5,4,4,5,5,5,3,0,9
"91","Ein",0,4,1,1,5,5,5,5,5,5,10
"92","Koe",4,0,5,4,5,1,1,1,5,1,10
"93","Rau",1,5,0,4,4,5,5,4,5,5,10
"94","Sac",1,4,4,0,5,1,5,5,5,5,10
"95","Ste",5,5,4,5,0,5,5,5,1,5,10
"96","Tru",5,1,5,1,5,0,3,5,5,4,10
"97","Unt",5,1,5,5,5,3,0,5,5,5,10
"98","Ver",5,1,4,5,5,5,5,0,5,5,10
"99","Wah",5,5,5,5,1,5,5,5,0,4,10
"100","Wid",5,1,5,5,5,4,5,5,4,0,10
"101","Ein",0,4,1,2,4,4,5,5,5,4,11
"102","Koe",4,0,4,4,5,2,3,1,5,3,11
"103","Rau",1,4,0,3,2,5,5,3,5,4,11
"104","Sac",2,4,3,0,5,3,4,4,5,3,11
"105","Ste",4,5,2,5,0,4,5,5,2,5,11
"106","Tru",4,2,5,3,4,0,3,5,5,4,11
"107","Unt",5,3,5,4,5,3,0,4,5,3,11
"108","Ver",5,1,3,4,5,5,4,0,5,5,11
